Date,Price,Open,High,Low,Change 
2018-07-12,89571.25,91729.43,92466.45,88168.89,-0.02
2018-07-13,89897.67,89998.6,91021.31,89317.48,0
2018-07-16,89744.01,90683.46,91044.33,89165.56,0
2018-07-17,91629.55,89818.36,91638.27,89767.93,0.02
2018-07-18,92321.95,91722.16,92455.97,90420.97,0.01
2018-07-19,93002.93,92752.3,93295.81,92193.47,0.01
2018-07-20,94082.34,93268.93,94169.41,92787.17,0.01
2018-07-23,95305.15,94173.46,96035.55,94173.46,0.01
2018-07-24,92133.82,95524.43,95567.9,91722.71,-0.03
2018-07-25,95368.59,92382.48,95763.59,92165.26,0.04
2018-07-26,94817.26,95776.31,96680.76,93537.11,-0.01
2018-07-27,95584.84,94902.91,95977.33,94444.54,0.01
2018-07-30,96157.74,95340.39,96269.35,94921.11,0.01
2018-07-31,96952.23,95942.24,97231.61,95794.28,0.01
2018-08-01,97210.57,97121.83,97409.55,96245.44,0
2018-08-02,94543.27,95518.18,95518.18,94153.27,-0.03
2018-08-03,95610.48,94483.4,96064.3,94483.4,0.01
2018-08-06,94173.97,95290.46,95500.84,93568.43,-0.02
2018-08-07,96161.04,94585.23,96420.63,94369.28,0.02
2018-08-08,96973.85,96327.25,97260.43,95969.57,0.01
2018-08-09,97185.13,95661.64,98743.89,95408.69,0
2018-08-10,94939.63,95603.35,97810.06,88598.12,-0.02
2018-08-13,92684.55,93869.51,93869.51,88432.64,-0.02
2018-08-14,93418.65,94689.43,95299.14,92810,0.01
2018-08-15,90262.95,95040.93,95245,90131.54,-0.03
2018-08-16,87143.21,91492.77,91568.57,87143.21,-0.03
2018-08-17,88734.76,86602.24,88764.19,84654.5,0.02
2018-08-20,90185.99,88984.52,90476.48,88938.61,0.02
2018-08-27,91284.04,90921.33,91284.04,89999.2,0.01
2018-08-28,93866.94,91274.5,93974.61,90991.6,0.03
2018-08-29,93280.71,93316.96,94279.73,92760.43,-0.01
2018-08-31,92723.4,93450.11,93658.24,92132.88,-0.01
2018-09-03,93915.55,92291.29,94656.05,92205.55,0.01
2018-09-04,93189.27,94254.45,94589.11,92915.43,-0.01
2018-09-05,92790.99,93100.27,93719.45,92370.79,0
2018-09-06,92763.31,93121.74,94166.24,92763.31,0
2018-09-07,93274.15,93170.94,93675.91,92538.54,0.01
2018-09-10,91698.34,93532.9,93662.58,91698.34,-0.02
2018-09-11,92389.11,91874.43,92748.37,91450.29,0.01
2018-09-12,92227.37,92836.31,93552.53,91923.82,0
2018-09-13,94419.15,92257.88,94610.38,91206.17,0.02
2018-09-14,94759.64,95319.78,96298.9,94377.04,0
2018-09-17,94347.66,94477.37,95105.03,93790.14,0
2018-09-18,94886.87,94735.52,95374.88,94538.06,0.01
2018-09-19,96603.75,95480.32,96722.73,95272.19,0.02
2018-09-20,96121.1,97013.71,97387.93,95522.86,-0.01
2018-09-21,97988.16,96598.78,97988.16,96598.78,0.02
2018-09-24,99547.44,98284.19,99561.95,97781.97,0.02
2018-09-25,99292.47,100096.8,100180.97,98636.32,0
2018-09-26,99148.85,99512.49,99773.34,98147.61,0
2018-09-27,100298.73,99083.9,100637.69,98934.15,0.01
2018-09-28,99956.9,100427.37,100473.01,99173.71,0
2018-10-01,98537.15,100075.2,100646.97,98537.15,-0.01
2018-10-02,98160.73,98427.55,98713.72,97373.76,0
2018-10-03,97187.87,98204.51,98698.57,96944.51,-0.01
2018-10-04,94496.8,97043.02,97071.76,94496.8,-0.03
2018-10-05,94883.47,94354.64,95025.95,93169.15,0
2018-10-08,96087.27,94132.17,96231.73,93816.94,0.01
2018-10-09,96731.76,96451.28,97100.26,95536.85,0.01
2018-10-10,94440.69,97070.15,97168.89,94440.69,-0.02
2018-10-11,94747.53,93924.67,95117.23,93480.39,0
2018-10-12,96657.42,95695.39,97168.78,93389.22,0.02
2018-10-15,98631.27,97346.96,99037.88,97346.96,0.02
2018-10-16,98466.42,98573.87,99224.28,97906.63,0
2018-10-17,98991.01,99223.27,99553.94,98069.7,0.01
2018-10-18,97453.96,98987.52,99173.03,97191.47,-0.02
2018-10-19,96454.57,97819.88,97933.48,96335.38,-0.01
2018-10-22,94681.7,97215.75,97406.25,94681.7,-0.02
2018-10-23,93468.99,94080.42,94442.93,92344.89,-0.01
2018-10-24,92692.17,93887.71,94158.57,92692.17,-0.01
2018-10-25,93747.65,92272.08,93765.56,91958.23,0.01
2018-10-26,90541.53,93973.23,94036.49,90541.53,-0.03
2018-10-30,89999.9,90883.69,91387.01,88564.44,-0.01
2018-10-31,90200.71,90444.83,91926.87,89277.99,0
2018-11-01,92387.41,90253.58,92440.92,89950.14,0.02
2018-11-02,94123.02,92478.02,94570.59,92478.02,0.02
2018-11-05,95947.73,94523.72,95947.73,93812.96,0.02
2018-11-06,94727.67,96146.78,96282.05,94163.78,-0.01
2018-11-07,95493.3,94648.02,96046.74,94262.05,0.01
2018-11-08,93506.22,95521.71,95641.8,93258.07,-0.02
2018-11-09,92839.21,93297.72,93697.88,92127.06,-0.01
2018-11-12,91445.28,93005.79,93695.34,91445.28,-0.02
2018-11-13,92708.56,91532.34,93094.93,91297.67,0.01
2018-11-14,93287.16,92530.56,93691.34,91945.76,0.01
2018-11-15,93296.84,93523.34,94002.47,92695.3,0
2018-11-16,93616.45,93785.9,94308.29,92743.88,0
2018-11-19,94570.9,93568.15,94602.73,93568.15,0.01
2018-11-20,91686.35,94279.75,94391.73,91545.81,-0.03
2018-11-21,92707.95,92021.5,92707.95,91559.38,0.01
2018-11-22,92628.8,92743.34,92940.04,91883.27,0
2018-11-23,93003.27,92581.57,93003.27,92028.74,0
2018-11-26,93962.35,93521.69,94435.84,93455.3,0.01
2018-11-27,93516.96,93904.85,94104.46,93043.02,0
2018-11-28,94070.97,93756.33,94673.35,93756.33,0.01
2018-11-29,95125.57,94963.22,95544.59,94827.33,0.01
2018-11-30,95416.03,95164.5,95416.03,94527.68,0
2018-12-03,94974.45,96366.96,96829.78,94974.45,0
2018-12-04,93880.49,94649.89,95550.47,93530.35,-0.01
2018-12-05,93970.16,93047.56,94197.86,92847.71,0
2018-12-06,92827.29,93506.84,93866.56,92375.25,-0.01
2018-12-07,93699.49,93521.18,93807.04,93149.26,0.01
2018-12-10,92227.32,93245.87,93453.7,92217.54,-0.02
2018-12-11,91800.86,92449.6,92704.03,91609.96,0
2018-12-12,90051.1,92136.13,92326.51,89956.78,-0.02
2018-12-13,91386.52,90518.87,91443.11,90432.32,0.01
2018-12-14,90528.64,91072.14,91201.04,89337.5,-0.01
2018-12-17,89961.91,90595.64,90995.42,89933.04,-0.01
2018-12-18,91074.11,89695.14,91074.11,89567.01,0.01
2018-12-19,92552.71,91316.41,92583.49,91087.89,0.02
2018-12-20,91854.08,91864.24,92425.16,91331.54,-0.01
2018-12-21,91860.75,91777.54,92222.35,90916.29,0
2018-12-24,91526.9,92138.85,92435.66,91515.62,0
2018-12-25,90829.57,90980.02,91206.48,90469.86,-0.01
2018-12-26,91002.17,91121.22,91393.91,90687.46,0
2018-12-27,90974.79,91793.23,91911.56,90762.84,0
2018-12-28,90435.33,91174.09,91495.36,90107.39,-0.01
2018-12-31,91270.48,90675.11,91338.37,90323.93,0.01
2019-01-02,88865.01,90986.13,90986.13,88650.37,-0.03
2019-01-03,87399.02,88375.86,89544.58,87399.02,-0.02
2019-01-04,88830.82,87894.19,89121.11,87894.19,0.02
2019-01-07,89951.09,89444.74,90227.88,89280.82,0.01
2019-01-08,90696.97,90247.86,90776.12,89362.4,0.01
2019-01-09,91156.88,91031.58,91419.37,90591.41,0.01
2019-01-10,91196.31,91226.4,91845.79,90694.7,0
2019-01-11,91687.04,91503.26,92028.48,91262.53,0.01
2019-01-14,92053.84,90825.39,92053.84,90388.37,0
2019-01-15,93173.27,92627.61,93303.16,92478.4,0.01
2019-01-16,95411.49,93365.15,95440.55,93023.46,0.02
2019-01-17,96817.36,95499.76,97354.93,95161.25,0.01
2019-01-18,98454.88,97192.9,98662.21,97046,0.02
2019-01-21,97955.16,98627.47,99828.65,97634.93,-0.01
2019-01-22,99677.11,97990.9,99677.11,97856.07,0.02
2019-01-23,100141.04,99737.52,100488.14,99059.93,0
2019-01-24,101774.29,100453.78,101774.29,100314.69,0.02
2019-01-25,101801.42,102122.88,102319.92,101199.61,0
2019-01-28,101289.75,101822.8,102807.49,101240.45,-0.01
2019-01-29,104098.37,101358.82,104098.37,101077.08,0.03
2019-01-30,104189.45,104154.24,104793.06,103549.86,0
2019-01-31,104074.22,105478.09,105930.24,103408.84,0
2019-02-01,102937.14,104061.03,104371.52,102648.13,-0.01
2019-02-04,102255.01,103078.49,103554.46,101988.67,-0.01
2019-02-05,102448.42,102765.06,103852.06,101755.58,0
2019-02-06,102584.26,102899.19,103089.18,101620.48,0
2019-02-07,102784.03,102752.83,102937.16,101945.35,0
2019-02-08,102451.74,102494.86,102742.42,102119.23,0
2019-02-11,104394.73,103287.56,104656.55,103280.41,0.02
2019-02-12,103762.46,104652.83,104977.36,103364.53,-0.01
2019-02-13,101645.82,104338.99,104455.1,101645.82,-0.02
2019-02-14,102129.99,101923.55,102616.62,100749.57,0
2019-02-15,102715.01,102070.89,102978.44,101186.64,0.01
2019-02-18,101728.51,102866.81,103131.15,101728.51,-0.01
2019-02-19,101742.14,101845.16,101978.94,100713.11,0
2019-02-20,101971.29,101990.37,102542.96,101618.1,0
2019-02-21,102494.03,102033.9,102893.49,101695.35,0.01
2019-02-22,103185.7,102839.75,103468.1,102612.01,0.01
2019-02-25,104330.06,103874.99,105145.89,103874.99,0.01
2019-02-26,105082.31,104261.34,105082.31,103941.87,0.01
2019-02-27,104141.04,105117.48,105269.35,104117.24,-0.01
2019-02-28,104529.93,104247.57,105069.55,104127.99,0
2019-03-01,103266.58,104689.85,104832.92,102956.65,-0.01
2019-03-04,104193.33,103564.09,104617.02,103475.19,0.01
2019-03-05,103730.59,103933.61,104832.15,103459.76,0
2019-03-06,103452.85,104026.09,104866.55,103365.09,0
2019-03-07,102282.68,103853.59,104194.2,102263.98,-0.01
2019-03-08,101538.28,102337.33,102463.66,100873.61,-0.01
2019-03-11,100850.42,101886.95,102342.81,100651.72,-0.01
2019-03-12,101721.05,101465.13,102068.65,100919.22,0.01
2019-03-13,102196.57,101820.81,102532.3,101142.96,0
2019-03-14,102432.29,102298.21,102785.75,102009.57,0
2019-03-15,103304.05,102890.87,103380.35,102643.54,0.01
